Date,Gold Price,Gold Open,Gold High,Gold Low,Gold Volume,Gold Change %,Gold Vol.
3/14/2025,3001.10,3001.40,3017.10,2988.60,,0.33%,
3/13/2025,2991.30,2943.30,3001.50,2942.20,256560,1.51%,256.56K
3/12/2025,2946.80,2922.30,2948.90,2911.00,209820,0.89%,209.82K
3/11/2025,2920.90,2893.20,2929.00,2882.50,194120,0.74%,194.12K
3/10/2025,2899.40,2919.60,2926.40,2885.20,221610,-0.50%,221.61K
3/7/2025,2914.10,2919.20,2938.80,2905.30,237580,-0.43%,237.58K
3/6/2025,2926.60,2929.50,2935.90,2897.60,166360,0.02%,166.36K
3/5/2025,2926.00,2929.00,2941.30,2903.40,183020,0.18%,183.02K
3/4/2025,2920.60,2904.20,2939.80,2892.50,188520,0.67%,188.52K
3/3/2025,2901.10,2872.00,2906.40,2866.30,177020,1.85%,177.02K
2/28/2025,2848.50,2889.00,2896.10,2844.10,210560,-1.64%,210.56K
2/27/2025,2895.90,2931.40,2935.80,2879.00,207650,-0.75%,207.65K
2/26/2025,2917.80,2915.60,2926.40,2891.00,2050,0.41%,2.05K
2/25/2025,2906.00,2955.90,2955.90,2884.50,5590,-1.48%,5.59K
2/24/2025,2949.70,2939.30,2960.00,2926.40,2000,-0.12%,2.00K
2/21/2025,2953.20,2955.70,2964.70,2930.10,163690,-0.10%,163.69K
2/20/2025,2956.10,2949.50,2973.40,2939.30,172200,0.68%,172.20K
2/19/2025,2936.10,2954.10,2964.40,2933.70,159340,-0.44%,159.34K
2/18/2025,2949.00,2895.10,2956.50,2887.60,218760,1.67%,218.76K
2/14/2025,2900.70,2957.30,2964.10,2889.90,228080,-1.52%,228.08K
2/13/2025,2945.40,2928.80,2958.80,2925.80,169500,0.57%,169.50K
2/12/2025,2928.70,2927.00,2936.50,2886.50,204630,-0.13%,204.63K
2/11/2025,2932.60,2937.00,2968.50,2907.00,218480,-0.06%,218.48K
2/10/2025,2934.40,2884.80,2938.10,2879.90,167230,1.62%,167.23K
2/7/2025,2887.60,2880.20,2910.60,2876.10,192550,0.38%,192.55K
2/6/2025,2876.70,2885.00,2894.20,2855.00,167700,-0.56%,167.70K
2/5/2025,2893.00,2873.70,2906.00,2870.10,167380,0.60%,167.38K
2/4/2025,2875.80,2850.40,2877.10,2837.40,145860,0.65%,145.86K
2/3/2025,2857.10,2846.50,2872.00,2802.20,181340,0.78%,181.34K
1/31/2025,2835.00,2851.90,2862.90,2826.00,165680,-0.36%,165.68K
1/30/2025,2845.20,2796.20,2853.20,2794.90,188340,2.29%,188.34K
1/29/2025,2781.50,2784.90,2790.10,2772.80,3980,0.02%,3.98K
1/28/2025,2781.00,2757.00,2786.90,2752.90,3420,1.04%,3.42K
1/27/2025,2752.40,2791.00,2791.00,2746.80,3940,-1.44%,3.94K
1/24/2025,2792.70,2779.30,2808.10,2779.30,1100,0.52%,1.10K
1/23/2025,2778.30,2778.10,2780.20,2754.70,1830,-0.68%,1.83K
1/22/2025,2797.40,2784.50,2800.30,2782.50,39590,0.42%,39.59K
1/21/2025,2785.60,2766.00,2788.40,2741.50,56800,1.34%,56.80K
1/17/2025,2748.70,2746.80,2759.20,2729.20,156870,-0.08%,156.87K
1/16/2025,2750.90,2722.30,2757.90,2720.40,186540,1.22%,186.54K
1/15/2025,2717.80,2693.30,2722.70,2685.40,193720,1.32%,193.72K
1/14/2025,2682.30,2682.00,2693.70,2672.00,179410,0.14%,179.41K
1/13/2025,2678.60,2716.80,2723.80,2675.20,211090,-1.34%,211.09K
1/10/2025,2715.00,2692.90,2735.00,2686.90,298410,0.90%,298.41K
1/9/2025,2690.80,2679.90,2696.80,2673.70,156650,0.69%,156.65K
1/8/2025,2672.40,2662.90,2687.00,2658.40,197370,0.26%,197.37K
1/7/2025,2665.40,2647.10,2678.50,2643.50,161620,0.68%,161.62K
1/6/2025,2647.40,2652.80,2663.80,2624.60,169920,-0.27%,169.92K
1/3/2025,2654.70,2671.10,2681.00,2649.70,121170,-0.54%,121.17K
1/2/2025,2669.00,2641.00,2674.20,2636.10,144520,1.06%,144.52K
12/31/2024,2641.00,2620.00,2642.00,2614.30,86290,0.87%,86.29K
12/30/2024,2618.10,2636.10,2640.70,2608.40,110920,-0.01%,110.92K
12/27/2024,2618.40,2639.70,2639.70,2612.10,640,-0.83%,0.64K
12/26/2024,2640.30,2623.30,2642.40,2622.80,1400,0.67%,1.40K
12/24/2024,2622.80,2616.50,2622.70,2612.50,420,0.28%,0.42K
12/23/2024,2615.50,2627.30,2632.90,2610.20,560,-0.65%,0.56K
12/20/2024,2632.50,2597.70,2640.70,2595.70,510,1.41%,0.51K
